chr	start	end	strand	label	n_supporting	method	gene_name
1	918815	918816	-		2	Bisulfite-seq,m5C-RIP-seq	LINC02593,LINC02593
1	944474	944475	+		4	Bisulfite-seq,m5C-RIP-seq	SAMD11,SAMD11,SAMD11,SAMD11,SAMD11,SAMD11,SAMD11,SAMD11,SAMD11,SAMD11
1	1014331	1014332	+		3	Bisulfite-seq,m5C-RIP-seq	ISG15,ISG15,ISG15,ISG15
1	1048883	1048884	+		4	Bisulfite-seq,m5C-RIP-seq	AGRN,AGRN,AGRN,AGRN,AGRN
1	1314331	1314332	-		3	m5C-RIP-seq,Bisulfite-seq	INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11,INTS11
1	1342388	1342389	-		4	Bisulfite-seq,m5C-RIP-seq	DVL1,DVL1,DVL1,DVL1
1	2050584	2050585	+		5	Bisulfite-seq,m5C-RIP-seq	PRKCZ,PRKCZ,PRKCZ
1	3514616	3514617	-		3	m5C-RIP-seq,Bisulfite-seq	MEGF6,MEGF6,MEGF6
1	3650033	3650034	-		2	m5C-RIP-seq,Bisulfite-seq	WRAP73,WRAP73,WRAP73,WRAP73,WRAP73
1	3884218	3884219	+		5	Bisulfite-seq,m5C-RIP-seq	DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB
1	3884219	3884220	+		5	Bisulfite-seq,m5C-RIP-seq	DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB
1	6211898	6211899	+		1	m5C-RIP-seq	RNF207,RNF207,RNF207,RNF207,RNF207
1	6221385	6221386	-		3	Bisulfite-seq,m5C-RIP-seq	ICMT
1	6887900	6887901	+		3	m5C-RIP-seq,Bisulfite-seq	CAMTA1,CAMTA1,CAMTA1,CAMTA1,CAMTA1
1	9264261	9264262	+		1	m5C-RIP-seq	H6PD,H6PD
1	11926002	11926003	-		2	Bisulfite-seq,m5C-RIP-seq	KIAA2013,KIAA2013,KIAA2013
1	15774670	15774671	+		1	m5C-RIP-seq	FBLIM1,FBLIM1,FBLIM1,FBLIM1
1	16396654	16396655	+		4	Bisulfite-seq,m5C-RIP-seq	SZRD1,SZRD1,SZRD1
1	16987122	16987123	-		4	Bisulfite-seq,m5C-RIP-seq	ATP13A2,ATP13A2,ATP13A2,ATP13A2,ATP13A2
1	17407245	17407246	-		4	Bisulfite-seq,m5C-RIP-seq	RCC2
1	18872032	18872033	-		2	Bisulfite-seq,m5C-RIP-seq	ALDH4A1,AL080251.1,ALDH4A1,ALDH4A1
1	19311959	19311960	-		3	Bisulfite-seq,m5C-RIP-seq	AKR7A2,AKR7A2,AKR7A2
1	21885148	21885149	-		3	m5C-RIP-seq,Bisulfite-seq	HSPG2
1	21887480	21887481	-		4	Bisulfite-seq,m5C-RIP-seq	HSPG2,HSPG2,HSPG2
1	21887481	21887482	-		5	Bisulfite-seq,m5C-RIP-seq	HSPG2,HSPG2,HSPG2
1	23509582	23509583	-		1	m5C-RIP-seq	E2F2
1	31635481	31635482	-		6	Bisulfite-seq,m5C-RIP-seq	PEF1,PEF1,PEF1,PEF1,PEF1,PEF1
1	31665611	31665612	-		1	m5C-RIP-seq	COL16A1,COL16A1,COL16A1,COL16A1,COL16A1
1	35565372	35565373	+		5	Bisulfite-seq,m5C-RIP-seq	NCDN,NCDN,NCDN,NCDN
1	37808097	37808098	+		3	Bisulfite-seq,m5C-RIP-seq	C1orf122,C1orf122,C1orf122,C1orf122
1	38991486	38991487	+		3	Bisulfite-seq,m5C-RIP-seq	AKIRIN1,AKIRIN1,AKIRIN1,G-rich
1	41028079	41028080	-		6	Bisulfite-seq,m5C-RIP-seq	SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1
1	42766675	42766676	-		5	Bisulfite-seq,m5C-RIP-seq	P3H1,P3H1,P3H1,P3H1,P3H1,P3H1,P3H1
1	43453697	43453698	-		3	Bisulfite-seq,m5C-RIP-seq	HYI,HYI,HYI,HYI,HYI,HYI,HYI,HYI
1	43591169	43591170	+		5	Bisulfite-seq,m5C-RIP-seq	PTPRF,PTPRF,PTPRF,PTPRF
1	46286301	46286302	-		1	m5C-RIP-seq	LRRC41,LRRC41,LRRC41,LRRC41,LRRC41
1	51236582	51236583	+		3	Bisulfite-seq,m5C-RIP-seq	RNF11,RNF11
1	52355797	52355798	-		4	m5C-RIP-seq,Bisulfite-seq	CC2D1B,CC2D1B,CC2D1B,CC2D1B,CC2D1B,CC2D1B,CC2D1B
1	52357585	52357586	-		2	Bisulfite-seq,m5C-RIP-seq	CC2D1B,CC2D1B,CC2D1B,CC2D1B,CC2D1B,CC2D1B
1	53327943	53327944	-		3	m5C-RIP-seq,Bisulfite-seq	LRP8,LRP8,LRP8
1	53327952	53327953	-		1	m5C-RIP-seq	LRP8,LRP8,LRP8
1	55103887	55103888	-		4	m5C-RIP-seq,Bisulfite-seq	USP24
1	150308595	150308596	+		3	Bisulfite-seq,m5C-RIP-seq	MRPS21,MRPS21,AluSz
1	150308601	150308602	+		3	Bisulfite-seq,m5C-RIP-seq	MRPS21,MRPS21,AluSz
1	150308605	150308606	+		3	Bisulfite-seq,m5C-RIP-seq	MRPS21,AluSz,MRPS21
1	150557565	150557566	+		4	m5C-RIP-seq,Bisulfite-seq	ADAMTSL4,ADAMTSL4,ADAMTSL4,ADAMTSL4
1	151776097	151776098	-		3	m5C-RIP-seq,Bisulfite-seq	TDRKH,TDRKH,TDRKH,TDRKH,TDRKH,TDRKH,TDRKH,TDRKH,TDRKH
1	153693405	153693406	+		3	m5C-RIP-seq,Bisulfite-seq	NPR1,NPR1
1	153752383	153752384	+		2	m5C-RIP-seq,Bisulfite-seq	INTS3,INTS3,INTS3,INTS3,INTS3,INTS3
1	155017713	155017714	+		2	Bisulfite-seq,m5C-RIP-seq	ZBTB7B,ZBTB7B,ZBTB7B
1	155057681	155057682	+		5	Bisulfite-seq,m5C-RIP-seq	ADAM15,ADAM15,ADAM15,ADAM15,ADAM15,ADAM15,ADAM15,ADAM15,ADAM15,ADAM15,ADAM15,ADAM15,ADAM15,ADAM15,ADAM15
1	155186034	155186035	-		6	Bisulfite-seq,m5C-RIP-seq	AL713999.1,MUC1,MUC1,MUC1,MUC1,MUC1,MUC1,MUC1,MUC1,MUC1,MUC1,MUC1,MUC1,MUC1,MUC1,MUC1,MUC1
1	156249439	156249440	-		2	Bisulfite-seq,m5C-RIP-seq	SMG5
1	156670647	156670648	-		3	Bisulfite-seq,m5C-RIP-seq	NES
1	156676768	156676769	-		1	m5C-RIP-seq	NES
1	156743365	156743366	-		6	Bisulfite-seq,m5C-RIP-seq	HDGF,HDGF,HDGF,HDGF,HDGF,HDGF,HDGF
1	160997320	160997321	-		6	Bisulfite-seq,m5C-RIP-seq	F11R,F11R
1	164792610	164792611	+		1	m5C-RIP-seq	PBX1,PBX1,PBX1,PBX1,PBX1,(GGC)n,PBX1,PBX1,PBX1,PBX1,PBX1,PBX1,PBX1,PBX1,PBX1,PBX1,PBX1
1	164792619	164792620	+		1	m5C-RIP-seq	PBX1,PBX1,PBX1,PBX1,PBX1,PBX1,PBX1,PBX1,(GGC)n,PBX1,PBX1,PBX1,PBX1,PBX1,PBX1,PBX1,PBX1
1	180154980	180154981	+		3	m5C-RIP-seq,Bisulfite-seq	QSOX1,QSOX1,QSOX1
1	180198804	180198805	+		3	Bisulfite-seq,m5C-RIP-seq	QSOX1
1	183117337	183117338	+		3	Bisulfite-seq,m5C-RIP-seq	LAMC1
1	183533766	183533767	+		5	Bisulfite-seq,m5C-RIP-seq	SMG7,SMG7,SMG7,SMG7,SMG7,SMG7
1	206474386	206474387	+		1	m5C-RIP-seq	IKBKE,IKBKE,IKBKE,IKBKE,IKBKE,IKBKE
1	206733543	206733544	+		3	Bisulfite-seq,m5C-RIP-seq	MAPKAPK2
1	206733838	206733839	+		1	m5C-RIP-seq	MAPKAPK2
1	209623165	209623166	-		2	m5C-RIP-seq,Bisulfite-seq	LAMB3,LAMB3,LAMB3
1	209626009	209626010	-		2	m5C-RIP-seq,Bisulfite-seq	LAMB3,LAMB3,LAMB3
1	212858571	212858572	+		1	m5C-RIP-seq	FLVCR1
1	214281205	214281206	+		2	m5C-RIP-seq,Bisulfite-seq	SMYD2,SMYD2,SMYD2
1	224227621	224227622	-		3	m5C-RIP-seq,Bisulfite-seq	NVL,NVL,NVL,NVL,NVL,NVL,NVL,NVL,NVL,NVL
1	228275901	228275902	+		2	Bisulfite-seq,m5C-RIP-seq	OBSCN,OBSCN,OBSCN,OBSCN,OBSCN
1	229490007	229490008	-		3	m5C-RIP-seq,Bisulfite-seq	NUP133
1	230868398	230868399	-		1	m5C-RIP-seq	C1orf198,C1orf198,C1orf198,C1orf198
1	230906461	230906462	-		1	m5C-RIP-seq	TTC13,TTC13
1	230978692	230978693	-		2	m5C-RIP-seq,Bisulfite-seq	TTC13,TTC13,TTC13,TTC13,TTC13,TTC13
1	235504213	235504214	-		2	m5C-RIP-seq,Bisulfite-seq	B3GALNT2,B3GALNT2,B3GALNT2,B3GALNT2
1	248811789	248811790	-		2	m5C-RIP-seq,Bisulfite-seq	SH3BP5L,SH3BP5L,SH3BP5L
1	248848473	248848474	+		3	Bisulfite-seq,m5C-RIP-seq	ZNF672
1	248850172	248850173	-		5	Bisulfite-seq,m5C-RIP-seq	ZNF692,ZNF692,ZNF692,ZNF692,ZNF692,ZNF692,ZNF692,ZNF692,ZNF692
10	809754	809755	-		4	Bisulfite-seq,m5C-RIP-seq	LARP4B,LARP4B,LARP4B
10	14520307	14520308	-		3	Bisulfite-seq,m5C-RIP-seq	FAM107B,FAM107B,FAM107B,FAM107B,FAM107B,FAM107B
10	28523223	28523224	-		1	m5C-RIP-seq	AluSp,WAC-AS1,WAC-AS1
