chr	start	end	strand	label	gene_id	genomic_position	HCT116_model	n_reads	HEK293T_model	Arabidopsis_model
ENST00000413221	512	513	.	0	ENSG00000224032	112161038	0.19081041	63	0.34899074	0.012517023
ENST00000413221	660	661	.	1	ENSG00000224032	112161186	0.5200883	61	0.6273249	0.47229785
ENST00000413221	664	665	.	1	ENSG00000224032	112161190	0.8162246	56	0.82911825	0.7714902
ENST00000413221	696	697	.	0	ENSG00000224032	112161222	0.09302132	58	0.22524413	0.08656657
ENST00000413221	796	797	.	0	ENSG00000224032	112161729	0.1584046	64	0.36542737	0.037361644
ENST00000413221	835	836	.	0	ENSG00000224032	112161768	0.3008192	65	0.22299023	0.11802912
ENST00000413221	929	930	.	0	ENSG00000224032	112162237	0.015374184	56	0.20563483	0.10840829
ENST00000413221	968	969	.	0	ENSG00000224032	112162276	0.19780722	40	0.29478228	0.0392277
ENST00000427306	509	510	.	0	ENSG00000224032	112161038	0.36807665	26	0.4181284	0.059142184
ENST00000427306	657	658	.	1	ENSG00000224032	112161186	0.6063274	27	0.6621731	0.46861944
ENST00000427306	661	662	.	1	ENSG00000224032	112161190	0.7887519	27	0.82367146	0.5758655
ENST00000427306	693	694	.	0	ENSG00000224032	112161222	0.043962978	24	0.1726077	0.07398288
ENST00000427306	793	794	.	0	ENSG00000224032	112161729	0.24706256	30	0.4243339	0.0037628294
ENST00000427306	1301	1302	.	0	ENSG00000224032	112162237	0.023611903	30	0.2606384	0.082331456
ENST00000427306	1340	1341	.	0	ENSG00000224032	112162276	0.19384713	20	0.3401955	0.047504783
ENST00000416970	42	43	.	0	ENSG00000233016	136728142	0.5337186	130	0.5805303	0.1972936
ENST00000416970	126	127	.	0	ENSG00000233016	136728058	0.58488387	180	0.57488155	0.15610708
ENST00000416970	325	326	.	0	ENSG00000233016	136727065	0.15146051	178	0.26527688	0.10593754
ENST00000416970	360	361	.	0	ENSG00000233016	136726401	0.014741695	193	0.05814334	0.0014580727
ENST00000416970	376	377	.	0	ENSG00000233016	136726385	0.17050025	184	0.34056908	0.13852039
ENST00000416970	392	393	.	0	ENSG00000233016	136726369	0.45005435	160	0.40605563	0.21443458
ENST00000416970	420	421	.	0	ENSG00000233016	136726341	0.37703753	169	0.3149364	0.35167575
ENST00000416970	429	430	.	0	ENSG00000233016	136726332	0.38626045	145	0.22224724	0.44316712
ENST00000416970	591	592	.	1	ENSG00000233016	136724855	0.4359606	207	0.3269786	0.5446531
ENST00000416970	660	661	.	1	ENSG00000233016	136724786	0.26059026	223	0.21722326	0.0714635
ENST00000416970	679	680	.	1	ENSG00000233016	136724767	0.83675826	217	0.7813043	0.11907383
ENST00000416970	689	690	.	0	ENSG00000233016	136724757	0.15996078	211	0.18619397	0.10090345
ENST00000416970	696	697	.	0	ENSG00000233016	136724750	0.4065384	178	0.4225347	0.76774204
ENST00000416970	740	741	.	0	ENSG00000233016	136724706	0.06768193	202	0.13486323	0.302183
ENST00000371743	593	594	.	0	ENSG00000177410	49279158	0.08467616	21	0.20026438	0.020991575
ENST00000371743	616	617	.	0	ENSG00000177410	49279181	0.006689119	21	0.055243112	0.0021814823
ENST00000371743	875	876	.	0	ENSG00000177410	49289128	0.13584897	21	0.11256741	0.022833358
ENST00000450535	593	594	.	0	ENSG00000177410	49279158	0.19519341	41	0.3042712	0.29310116
ENST00000450535	616	617	.	0	ENSG00000177410	49279181	0.047315072	44	0.115577504	0.004039204
ENST00000450535	661	662	.	0	ENSG00000177410	49280502	0.027011465	40	0.08103384	0.11451863
ENST00000450535	677	678	.	0	ENSG00000177410	49280518	0.1702187	38	0.24884415	0.022449076
ENST00000450535	788	789	.	0	ENSG00000177410	49280961	0.013325942	20	0.24855249	0.023068894
ENST00000450535	903	904	.	0	ENSG00000177410	49289089	0.5180663	37	0.4788119	0.38348
ENST00000450535	907	908	.	0	ENSG00000177410	49289093	0.102260426	28	0.1499084	0.0011233687
ENST00000450535	942	943	.	0	ENSG00000177410	49289128	0.23477006	43	0.18978906	0.036188472
ENST00000450535	1017	1018	.	0	ENSG00000177410	49289203	0.054088317	39	0.22059289	0.018840205
ENST00000450535	1032	1033	.	0	ENSG00000177410	49289218	0.1655547	37	0.36066586	0.004888964
ENST00000326677	151	152	.	0	ENSG00000177410	49279158	0.09494326	40	0.21718279	0.054195642
ENST00000326677	174	175	.	0	ENSG00000177410	49279181	0.005879474	37	0.071364775	0.0023926974
ENST00000326677	219	220	.	0	ENSG00000177410	49280502	0.008327258	25	0.08420352	0.10416223
ENST00000326677	290	291	.	0	ENSG00000177410	49289047	0.16569631	25	0.38320073	0.083348
ENST00000326677	332	333	.	0	ENSG00000177410	49289089	0.7548505	36	0.600736	0.5827518
ENST00000326677	336	337	.	0	ENSG00000177410	49289093	0.04541	29	0.15604597	0.00041117668
ENST00000326677	371	372	.	0	ENSG00000177410	49289128	0.11450119	42	0.090719506	0.010688496
ENST00000326677	446	447	.	0	ENSG00000177410	49289203	0.12847461	37	0.37956685	0.41501108
ENST00000326677	461	462	.	0	ENSG00000177410	49289218	0.2611223	38	0.4140218	0.0049052117
ENST00000428008	151	152	.	0	ENSG00000177410	49279158	0.0762877	81	0.18704972	0.05270227
ENST00000428008	174	175	.	0	ENSG00000177410	49279181	0.008999991	81	0.044984173	0.0039626122
ENST00000428008	219	220	.	0	ENSG00000177410	49280502	0.011552095	74	0.07777842	0.2093889
ENST00000428008	235	236	.	0	ENSG00000177410	49280518	0.23066762	72	0.21642473	0.011584449
ENST00000428008	346	347	.	0	ENSG00000177410	49280961	0.010493887	39	0.22538643	0.036012076
ENST00000428008	352	353	.	0	ENSG00000177410	49289047	0.17023599	52	0.3006968	0.042008363
ENST00000428008	394	395	.	0	ENSG00000177410	49289089	0.43797868	79	0.59815234	0.4676698
ENST00000428008	398	399	.	0	ENSG00000177410	49289093	0.060509004	53	0.13862412	0.00045676233
ENST00000428008	433	434	.	0	ENSG00000177410	49289128	0.08810808	86	0.10561224	0.008786547
ENST00000428008	508	509	.	0	ENSG00000177410	49289203	0.18268037	77	0.32928088	0.15765467
ENST00000428008	523	524	.	0	ENSG00000177410	49289218	0.21124363	79	0.45618135	0.033434104
ENST00000333676	115	116	.	0	ENSG00000262814	81703472	0.18080088	203	0.21114378	0.0055904267
ENST00000333676	125	126	.	0	ENSG00000262814	81703482	0.1636267	240	0.14995687	0.18666866
ENST00000333676	141	142	.	0	ENSG00000262814	81703498	0.3748103	224	0.36217457	0.18462612
ENST00000333676	353	354	.	0	ENSG00000262814	81704378	0.13562986	340	0.47170553	0.02891308
ENST00000333676	386	387	.	0	ENSG00000262814	81704411	0.09724007	316	0.061653662	0.053079866
ENST00000333676	526	527	.	0	ENSG00000262814	81706942	0.39600402	329	0.5206128	0.1063693
ENST00000333676	547	548	.	0	ENSG00000262814	81706963	0.14101954	323	0.08872882	0.120253004
ENST00000333676	566	567	.	1	ENSG00000262814	81706982	0.47371155	294	0.4366702	0.0996881
ENST00000333676	596	597	.	0	ENSG00000262814	81707012	0.21841054	360	0.2755863	0.052103985
ENST00000333676	757	758	.	1	ENSG00000262814	81707256	0.993614	246	0.72550285	0.97459555
ENST00000333676	884	885	.	1	ENSG00000262814	81707383	0.542419	230	0.70675707	0.3899862
ENST00000333676	897	898	.	1	ENSG00000262814	81707396	0.66386765	227	0.42987567	0.6109686
ENST00000361227	68	69	.	0	ENSG00000198840	10127	0.076905906	865	0.25658065	0.044044234
ENST00000361227	240	241	.	0	ENSG00000198840	10299	0.020451915	949	0.10008694	0.048918795
