chr	start	end	strand	label	gene_type	gene_name	gene_pos	unconverted	converted	ratio
1	918815	918816	-		lncRNA	ENSG00000223764(LINC02593)	2201	72	5	0.935064935
1	941219	941220	+		protein_coding	ENSG00000187634(SAMD11)	17298	13	68	0.160493827
1	944474	944475	+		protein_coding	ENSG00000187634(SAMD11)	20553	168	529	0.241032999
1	999130	999131	-		protein_coding	ENSG00000188290(HES4)	1042	40	1613	0.024198427
1	999141	999142	-		protein_coding	ENSG00000188290(HES4)	1031	36	1796	0.019650655
1	999784	999785	-		protein_coding	ENSG00000188290(HES4)	388	137	2875	0.045484728
1	1014331	1014332	+		protein_coding	ENSG00000187608(ISG15)	13195	22	514	0.041044776
1	1048883	1048884	+		protein_coding	ENSG00000188157(AGRN)	28765	7	59	0.106060606
1	1304619	1304620	-		protein_coding	ENSG00000131584(ACAP3)	4990	7	5	0.583333333
1	1314331	1314332	-		protein_coding	ENSG00000127054(INTS11)	10356	33	273	0.107843137
1	1316065	1316066	-		protein_coding	ENSG00000127054(INTS11)	8622	14	14	0.5
1	1336147	1336148	-		protein_coding	ENSG00000107404(DVL1)	13271	22	819	0.026159334
1	1336314	1336315	-		protein_coding	ENSG00000107404(DVL1)	13104	26	445	0.055201699
1	1342388	1342389	-		protein_coding	ENSG00000107404(DVL1)	7030	20	246	0.07518797
1	2050584	2050585	+		protein_coding	ENSG00000067606(PRKCZ)	175	51	69	0.425
1	2870843	2870844	+		Other features	.	.	8	0	1.0
1	2870851	2870852	+		Other features	.	.	9	0	1.0
1	3647467	3647468	-		protein_coding	ENSG00000116213(WRAP73)	5294	12	436	0.026785714
1	3884218	3884219	+		protein_coding	ENSG00000169598(DFFB)	26953	13	63	0.171052632
1	3884219	3884220	+		protein_coding	ENSG00000169598(DFFB)	26954	35	45	0.4375
1	5865229	5865230	-		protein_coding	ENSG00000131697(NPHP4)	127244	6	44	0.12
1	6221385	6221386	-		protein_coding	ENSG00000116237(ICMT)	14587	19	510	0.035916824
1	6581229	6581230	+		protein_coding	ENSG00000204859(ZBTB48)	1237	12	277	0.041522491
1	8865393	8865394	-		protein_coding	ENSG00000074800(ENO1)	13797	155	16839	0.009120866
1	8866449	8866450	-		protein_coding	ENSG00000074800(ENO1)	12741	112	19607	0.005679801
1	9849423	9849424	-		protein_coding	ENSG00000178585(CTNNBIP1)	60913	12	82	0.127659574
1	10379872	10379873	+		protein_coding	ENSG00000054523(KIF1B)	169304	29	107	0.213235294
1	10630312	10630313	+		protein_coding	ENSG00000142655(PEX14)	158026	10	329	0.029498525
1	11054672	11054673	-		protein_coding	ENSG00000116649(SRM)	5348	16	1096	0.014388489
1	11975275	11975276	+		protein_coding	ENSG00000083444(PLOD1)	41072	46	325	0.123989218
1	15734090	15734091	+		protein_coding	ENSG00000116786(PLEKHM2)	49772	11	240	0.043824701
1	16396170	16396171	+		protein_coding	ENSG00000055070(SZRD1)	43597	24	1258	0.018720749
1	16396654	16396655	+		protein_coding	ENSG00000055070(SZRD1)	44081	365	434	0.456821026
1	16987122	16987123	-		protein_coding	ENSG00000159363(ATP13A2)	24806	25	251	0.09057971
1	19306125	19306126	-		protein_coding	ENSG00000053371(AKR7A2)	6019	59	1412	0.04010877
1	19311959	19311960	-		protein_coding	ENSG00000053371(AKR7A2)	185	48	865	0.052573932
1	19356712	19356713	-		protein_coding	ENSG00000077549(CAPZB)	128827	32	1492	0.020997375
1	19378546	19378547	-		protein_coding	ENSG00000077549(CAPZB)	106993	29	2044	0.013989387
1	20485522	20485523	-		protein_coding	ENSG00000162545(CAMK2N1)	688	68	103	0.397660819
1	20650538	20650539	+		protein_coding	ENSG00000158828(PINK1)	17082	33	796	0.039806996
1	20652450	20652451	-		protein_coding	ENSG00000244038(DDOST)	9094	41	501	0.075645756
1	20652512	20652513	-		protein_coding	ENSG00000244038(DDOST)	9032	64	1857	0.033315981
1	20744003	20744004	-		protein_coding	ENSG00000127483(HP1BP3)	43320	31	458	0.063394683
1	21217833	21217834	-		protein_coding	ENSG00000117298(ECE1)	127739	11	172	0.06010929
1	24472652	24472653	+		protein_coding	ENSG00000001461(NIPAL3)	56852	10	213	0.044843049
1	24654994	24654995	+		protein_coding	ENSG00000133226(SRRM1)	23280	21	141	0.12962963
1	25815925	25815926	+		protein_coding	ENSG00000162430(SELENON)	15734	19	162	0.104972376
1	26284793	26284794	-		protein_coding	ENSG00000158062(UBXN11)	33570	7	123	0.053846154
1	26732728	26732729	+		protein_coding	ENSG00000117713(ARID1A)	39494	15	252	0.056179775
1	26826835	26826836	+		protein_coding	ENSG00000204160(ZDHHC18)	149	8	206	0.037383178
1	26879704	26879705	-		protein_coding	ENSG00000142751(GPN2)	10579	15	539	0.027075812
1	27000365	27000366	+		protein_coding	ENSG00000253368(TRNP1)	6675	9	43	0.173076923
1	27666213	27666214	-		protein_coding	ENSG00000126709(IFI6)	5999	10	237	0.04048583
1	28536006	28536007	+		protein_coding	ENSG00000180198(RCC1)	30065	95	829	0.102813853
1	29154718	29154719	-		protein_coding	ENSG00000116350(SRSF4)	27182	43	1120	0.036973345
1	30871688	30871689	-		protein_coding	ENSG00000162512(SDC3)	37070	75	28	0.72815534
1	31413204	31413205	+		protein_coding	ENSG00000168528(SERINC2)	3641	6	27	0.181818182
1	31488634	31488635	-		pseudogene	ENSG00000215899(EEF1A1P46)	296	6	7	0.461538462
1	31635481	31635482	-		protein_coding	ENSG00000162517(PEF1)	9415	256	1094	0.18962963
1	32336018	32336019	-		protein_coding	ENSG00000175130(MARCKSL1)	215	378	2195	0.146910222
1	32773012	32773013	+		protein_coding	ENSG00000162522(KIAA1522)	31184	8	225	0.034334764
1	32775813	32775814	-		protein_coding	ENSG00000134684(YARS1)	42218	301	7159	0.040348525
1	32775814	32775815	-		protein_coding	ENSG00000134684(YARS1)	42217	76	7338	0.010250877
1	32810744	32810745	-		protein_coding	ENSG00000134684(YARS1)	7287	174	5611	0.030077787
1	33009288	33009289	-		protein_coding	ENSG00000004455(AK2)	71708	9	287	0.030405405
1	35192633	35192634	-		protein_coding	ENSG00000116560(SFPQ)	813	17	801	0.020782396
1	35434603	35434604	-		protein_coding	ENSG00000142687(KIAA0319L)	123347	16	267	0.056537102
1	35560696	35560697	+		protein_coding	ENSG00000020129(NCDN)	3225	8	250	0.031007752
1	35565372	35565373	+		protein_coding	ENSG00000020129(NCDN)	7901	63	248	0.202572347
1	35888429	35888430	+		protein_coding	ENSG00000092847(AGO1)	18623	5	38	0.11627907
1	36180760	36180761	+		protein_coding	ENSG00000116871(MAP7D1)	25183	33	621	0.050458716
1	37808097	37808098	+		protein_coding	ENSG00000197982(C1orf122)	1120	17	176	0.088082902
1	38708788	38708789	+		Other features	.	.	4	10	0.285714286
1	38855717	38855718	-		protein_coding	ENSG00000116954(RRAGC)	4055	14	331	0.04057971
1	38991486	38991487	+		protein_coding	ENSG00000174574(AKIRIN1)	212	71	630	0.10128388
1	39285705	39285706	+		protein_coding	ENSG00000127603(MACF1)	204391	9	45	0.166666667
1	40980140	40980141	+		protein_coding	ENSG00000171793(CTPS1)	842	11	23	0.323529412
1	41028079	41028080	-		protein_coding	ENSG00000010803(SCMH1)	214227	161	166	0.49235474
1	42766675	42766676	-		protein_coding	ENSG00000117385(P3H1)	409	76	179	0.298039216
1	43453697	43453698	-		protein_coding	ENSG00000178922(HYI)	292	8	42	0.16
1	43591169	43591170	+		protein_coding	ENSG00000142949(PTPRF)	65984	21	81	0.205882353
1	43591276	43591277	+		protein_coding	ENSG00000142949(PTPRF)	66091	17	397	0.041062802
1	43617557	43617558	+		protein_coding	ENSG00000142949(PTPRF)	92372	11	91	0.107843137
1	43973050	43973051	+		protein_coding	ENSG00000132768(DPH2)	3052	9	96	0.085714286
1	43977982	43977983	+		protein_coding	ENSG00000117410(ATP6V0B)	3497	32	1978	0.015920398
1	45329325	45329326	-		protein_coding	ENSG00000132781(MUTYH)	11568	8	146	0.051948052
1	45567982	45567983	+		protein_coding	ENSG00000117448(AKR1A1)	17441	14	705	0.019471488
1	45634185	45634186	-		protein_coding	ENSG00000159592(GPBP1L1)	53928	15	287	0.049668874
1	46041287	46041288	-		protein_coding	ENSG00000117461(PIK3R3)	91749	13	93	0.122641509
1	46286301	46286302	-		protein_coding	ENSG00000132128(LRRC41)	17315	15	546	0.026737968
