chr	start	end	strand	label	n_supporting	method	gene_name
1	918815	918816	-		2	Bisulfite-seq,m5C-RIP-seq	LINC02593,LINC02593
1	944474	944475	+		4	Bisulfite-seq,m5C-RIP-seq	SAMD11,SAMD11,SAMD11,SAMD11,SAMD11,SAMD11,SAMD11,SAMD11,SAMD11,SAMD11
1	2050584	2050585	+		5	Bisulfite-seq,m5C-RIP-seq	PRKCZ,PRKCZ,PRKCZ
1	3884218	3884219	+		5	Bisulfite-seq,m5C-RIP-seq	DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB
1	3884219	3884220	+		5	Bisulfite-seq,m5C-RIP-seq	DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB,DFFB
1	16396654	16396655	+		4	Bisulfite-seq,m5C-RIP-seq	SZRD1,SZRD1,SZRD1
1	20485522	20485523	-		4	Bisulfite-seq	CAMK2N1
1	25815925	25815926	+		2	Bisulfite-seq	AL020996.2,AL020996.2,SELENON,SELENON,SELENON,SELENON,SELENON
1	26779447	26779448	+		1	Bisulfite-seq	ARID1A,ARID1A,ARID1A,ARID1A,ARID1A,ARID1A,ARID1A,ARID1A
1	31635481	31635482	-		6	Bisulfite-seq,m5C-RIP-seq	PEF1,PEF1,PEF1,PEF1,PEF1,PEF1
1	32336018	32336019	-		1	Bisulfite-seq	MARCKSL1
1	35565372	35565373	+		5	Bisulfite-seq,m5C-RIP-seq	NCDN,NCDN,NCDN,NCDN
1	35888429	35888430	+		2	Bisulfite-seq	AGO1,AGO1
1	39285705	39285706	+		2	Bisulfite-seq	MACF1,MACF1,MACF1,MACF1,MACF1,MACF1,MACF1,MACF1
1	39901100	39901101	-		2	Bisulfite-seq	MYCL,MYCL,MYCL
1	41028079	41028080	-		6	Bisulfite-seq,m5C-RIP-seq	SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1,SCMH1
1	42766675	42766676	-		5	Bisulfite-seq,m5C-RIP-seq	P3H1,P3H1,P3H1,P3H1,P3H1,P3H1,P3H1
1	43453697	43453698	-		3	Bisulfite-seq,m5C-RIP-seq	HYI,HYI,HYI,HYI,HYI,HYI,HYI,HYI
1	43617557	43617558	+		2	Bisulfite-seq	PTPRF,PTPRF,PTPRF,PTPRF,PTPRF,PTPRF,PTPRF,PTPRF
1	109100507	109100508	+		3	Bisulfite-seq,na	AL356488.2,SCARNA2
1	114717325	114717326	-		1	Bisulfite-seq	CSDE1,CSDE1,CSDE1,CSDE1,CSDE1,CSDE1,CSDE1
1	153772658	153772659	+		1	Bisulfite-seq	INTS3,INTS3,INTS3,INTS3,INTS3,INTS3,INTS3,INTS3
1	156743365	156743366	-		6	Bisulfite-seq,m5C-RIP-seq	HDGF,HDGF,HDGF,HDGF,HDGF,HDGF,HDGF
1	183533766	183533767	+		5	Bisulfite-seq,m5C-RIP-seq	SMG7,SMG7,SMG7,SMG7,SMG7,SMG7
1	220058533	220058534	-		1	Bisulfite-seq	BPNT1,BPNT1,BPNT1,BPNT1,AluSz,BPNT1
1	236819868	236819869	+		4	Bisulfite-seq	MTR,MTR,MTR,MTR,RPSAP21,MTR,MTR
1	241848299	241848300	+		2	Bisulfite-seq	EXO1,EXO1,EXO1,EXO1
1	248850172	248850173	-		5	Bisulfite-seq,m5C-RIP-seq	ZNF692,ZNF692,ZNF692,ZNF692,ZNF692,ZNF692,ZNF692,ZNF692,ZNF692
10	809754	809755	-		4	Bisulfite-seq,m5C-RIP-seq	LARP4B,LARP4B,LARP4B
10	14520307	14520308	-		3	Bisulfite-seq,m5C-RIP-seq	FAM107B,FAM107B,FAM107B,FAM107B,FAM107B,FAM107B
10	32056116	32056117	-		2	Bisulfite-seq	KIF5B
10	97498274	97498275	-		6	Bisulfite-seq,m5C-RIP-seq	MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19
10	101003881	101003882	+		4	Bisulfite-seq,m5C-RIP-seq	LZTS2,LZTS2
10	123155057	123155058	+		2	Bisulfite-seq	BUB3,BUB3,BUB3,BUB3
10	131968541	131968542	-		1	Bisulfite-seq	BNIP3,BNIP3
10	132228010	132228011	-		4	Bisulfite-seq,m5C-RIP-seq	STK32C,STK32C,STK32C,STK32C
11	490936	490937	+		4	Bisulfite-seq,m5C-RIP-seq	PTDSS2,PTDSS2
11	821027	821028	+		2	Bisulfite-seq	PNPLA2,PNPLA2
11	1759549	1759550	-		5	Bisulfite-seq,m5C-RIP-seq	CTSD,CTSD,CTSD,AC068580.4,CTSD,AC068580.4,CTSD,CTSD,CTSD,CTSD,CTSD,CTSD
11	32091253	32091254	+		5	Bisulfite-seq,m5C-RIP-seq	RCN1,AL035078.4,AL035078.4
11	61368125	61368126	+		3	Bisulfite-seq	TMEM138,TMEM138,TMEM138,TMEM138,TMEM138,TMEM138,TMEM138,TMEM138,TMEM138
11	63758890	63758891	+		5	Bisulfite-seq,m5C-RIP-seq	RTN3,RTN3,RTN3,RTN3,RTN3,RTN3
11	64288440	64288441	+		5	Bisulfite-seq,m5C-RIP-seq	GPR137,GPR137,GPR137,GPR137,GPR137,GPR137,GPR137,GPR137
11	66267482	66267483	+		4	Bisulfite-seq,m5C-RIP-seq	KLC2,KLC2,KLC2,KLC2,KLC2,KLC2,KLC2
11	66868898	66868899	-		4	Bisulfite-seq,m5C-RIP-seq	PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC
11	67432773	67432774	+		6	Bisulfite-seq,m5C-RIP-seq	RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2
11	75815427	75815428	+		4	Bisulfite-seq,m5C-RIP-seq	UVRAG
11	117208991	117208992	-		2	Bisulfite-seq	PCSK7,PCSK7,PCSK7,PCSK7,PCSK7,PCSK7,PCSK7
12	7209061	7209062	+		1	Bisulfite-seq	PEX5,PEX5,PEX5,PEX5,PEX5,PEX5
12	40105901	40105902	-		3	Bisulfite-seq,m5C-RIP-seq	SLC2A13,SLC2A13
12	53039653	53039654	+		1	Bisulfite-seq	EIF4B,EIF4B,EIF4B,EIF4B
12	53505255	53505256	+		4	Bisulfite-seq	TARBP2,TARBP2,TARBP2,TARBP2,TARBP2,TARBP2,TARBP2,TARBP2,TARBP2,TARBP2,TARBP2,TARBP2,TARBP2
12	56002638	56002639	+		2	Bisulfite-seq,m5C-RIP-seq	SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX
12	56272746	56272747	-		4	Bisulfite-seq,m5C-RIP-seq	CS,CS,CS,CS
12	56325363	56325364	-		2	Bisulfite-seq	PAN2,PAN2,PAN2,PAN2,PAN2,PAN2,PAN2,PAN2,PAN2
12	57616894	57616895	+		2	Bisulfite-seq	ARHGEF25,ARHGEF25,ARHGEF25,ARHGEF25,ARHGEF25
12	62021753	62021754	-		4	Bisulfite-seq,m5C-RIP-seq	FAM19A2,RPS3P6,FAM19A2,FAM19A2,FAM19A2,FAM19A2,FAM19A2,FAM19A2
12	76559475	76559476	-		4	Bisulfite-seq	OSBPL8,OSBPL8,OSBPL8,OSBPL8,OSBPL8,OSBPL8,OSBPL8,OSBPL8,OSBPL8,OSBPL8,OSBPL8,OSBPL8
12	111692742	111692743	+		5	Bisulfite-seq,m5C-RIP-seq	ACAD10,ACAD10,ACAD10,ACAD10,ACAD10,ACAD10,ACAD10,ACAD10,ACAD10,ACAD10
12	118246146	118246147	+		4	Bisulfite-seq,m5C-RIP-seq	RPS2P5
12	118376701	118376702	+		4	Bisulfite-seq,m5C-RIP-seq	SUDS3
12	122981425	122981426	+		3	Bisulfite-seq	ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,ARL6IP4,AC026362.1,ARL6IP4,ARL6IP4
12	132029852	132029853	+		2	Bisulfite-seq	EP400,EP400,EP400
12	132661558	132661559	-		4	Bisulfite-seq	POLE,POLE,POLE
13	110174660	110174661	-		4	Bisulfite-seq,m5C-RIP-seq	COL4A1
14	20343233	20343234	-		5	Bisulfite-seq,m5C-RIP-seq,na	RPPH1,AL355075.4
14	23301669	23301670	-		3	Bisulfite-seq	PPP1R3E
14	23346868	23346869	-		3	Bisulfite-seq	SLC22A17,SLC22A17,SLC22A17,SLC22A17,SLC22A17,SLC22A17,SLC22A17
14	29927426	29927427	-		2	Bisulfite-seq	PRKD1,PRKD1,PRKD1,PRKD1
14	49586018	49586019	-		5	Bisulfite-seq,m5C-RIP-seq	RPS29,RPS29,RPS29,RPS29,RPS29,RPS29,RPS29
14	60153975	60153976	-		2	Bisulfite-seq	DHRS7,DHRS7,DHRS7,DHRS7,DHRS7,DHRS7,DHRS7
14	64946658	64946659	-		3	Bisulfite-seq	RAB15,RAB15,RAB15,RAB15,RAB15,RAB15,RAB15,RAB15
14	69209633	69209634	+		2	Bisulfite-seq,m5C-RIP-seq	EXD2,EXD2,EXD2,EXD2,EXD2,EXD2,EXD2,EXD2
14	76787749	76787750	-		2	Bisulfite-seq	ANGEL1
14	100281407	100281408	+		3	Bisulfite-seq	YY1
14	102015989	102015990	+		2	Bisulfite-seq	DYNC1H1,DYNC1H1,DYNC1H1,DYNC1H1,DYNC1H1,DYNC1H1,DYNC1H1
14	102348512	102348513	-		5	Bisulfite-seq,m5C-RIP-seq	CINP,CINP,CINP,CINP,CINP
14	104894762	104894763	+		5	Bisulfite-seq,m5C-RIP-seq	CEP170B,CEP170B,CEP170B,CEP170B
15	41900037	41900038	-		3	Bisulfite-seq,m5C-RIP-seq	EHD4
15	64989864	64989865	-		1	Bisulfite-seq	SPG21,SPG21,SPG21,SPG21,SPG21
