chr	start	end	strand	label	n_supporting	method	gene_name
1	1336454	1336455	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	DVL1,DVL1,DVL1,DVL1
1	1471990	1471991	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	ATAD3B
1	1574542	1574543	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	SSU72,SSU72,SSU72
1	1825456	1825457	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	GNB1,GNB1,GNB1,GNB1,GNB1,GNB1,GNB1,GNB1
1	6785461	6785462	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	CAMTA1,CAMTA1
1	7771290	7771291	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	intergenic
1	12847517	12847518	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	HNRNPCL1
1	16129555	16129556	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	EPHA2
1	19338970	19338971	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	CAPZB,CAPZB,CAPZB,CAPZB
1	19338973	19338974	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	CAPZB,CAPZB,CAPZB,CAPZB
1	19339073	19339074	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	CAPZB,CAPZB,CAPZB,CAPZB
1	20851469	20851470	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	EIF4G3,EIF4G3,EIF4G3,EIF4G3,EIF4G3
1	20904921	20904922	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	EIF4G3,EIF4G3,EIF4G3,EIF4G3,EIF4G3,EIF4G3
1	23691813	23691814	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	RPL11,RPL11,RPL11
1	23794761	23794762	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	LYPLA2,LYPLA2,LYPLA2,LYPLA2,LYPLA2,LYPLA2
1	26281431	26281432	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	SH3BGRL3,SH3BGRL3
1	26468923	26468924	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	DHDDS,DHDDS,DHDDS,DHDDS,DHDDS,DHDDS
1	26781458	26781459	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	ARID1A,ARID1A
1	27405215	27405216	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	WASF2
1	32192408	32192409	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	TXLNA,TXLNA
1	32195301	32195302	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	TXLNA,TXLNA
1	32695746	32695747	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	SYNC,SYNC,SYNC,SYNC
1	35188066	35188067	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	SFPQ,SFPQ
1	35751410	35751411	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	CLSPN,CLSPN,CLSPN,CLSPN
1	36300893	36300894	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	THRAP3,THRAP3,THRAP3
1	36300894	36300895	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	THRAP3,THRAP3,THRAP3
1	37567004	37567005	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	GNL2,GNL2,GNL2,GNL2
1	40040725	40040726	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	CAP1,CAP1,CAP1,CAP1,CAP1
1	40040727	40040728	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	CAP1,CAP1,CAP1,CAP1,CAP1
1	42178676	42178677	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	FOXJ3,FOXJ3,FOXJ3,FOXJ3,FOXJ3,FOXJ3
1	45615306	45615307	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	NASP,NASP,NASP,NASP,NASP,NASP,NASP,NASP,NASP,NASP,NASP,NASP
1	46280491	46280492	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	LRRC41,LRRC41,LRRC41,LRRC41,LRRC41,LRRC41
1	51408214	51408215	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	EPS15,EPS15,EPS15
1	54226728	54226729	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	SSBP3,SSBP3,SSBP3,SSBP3,SSBP3,SSBP3,SSBP3
1	55086024	55086025	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	USP24,USP24,USP24
1	65226332	65226333	+		2	BoRed-seq&m7G-RIP-seq,m7G-seq	AK4,AK4,AK4,AK4,AK4,AK4
1	77978936	77978937	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	FUBP1,FUBP1,FUBP1,FUBP1
1	77978937	77978938	-		2	BoRed-seq&m7G-RIP-seq,m7G-seq	FUBP1,FUBP1,FUBP1,FUBP1
