chr	start	end	strand	label	n_supporting	method	gene_name
1	956933	956934	-		1	Nm-seq	NOC2L,NOC2L,NOC2L
1	1223949	1223950	-		1	Nm-seq	SDF4,SDF4,SDF4,SDF4
1	1373759	1373760	-		1	Nm-seq	AURKAIP1,AURKAIP1,AURKAIP1,AURKAIP1
1	1789179	1789180	-		1	Nm-seq	GNB1,GNB1,GNB1,GNB1,GNB1
1	10419960	10419961	+		1	Nm-seq	PGD
1	10420077	10420078	+		1	Nm-seq	PGD
1	10472407	10472408	-		1	Nm-seq	DFFA,DFFA,DFFA
1	11018862	11018863	+		1	Nm-seq	AL109811.3,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP,TARDBP
1	11054701	11054702	-		1	Nm-seq	SRM,SRM,SRM
1	11087832	11087833	-		1	Nm-seq	EXOSC10,EXOSC10
1	15807425	15807426	-		1	Nm-seq	UQCRHL
1	16978300	16978301	-		1	Nm-seq	MFAP2,MFAP2,MFAP2,MFAP2,MFAP2
1	17044797	17044798	-		1	Nm-seq	SDHB,SDHB,SDHB,SDHB,SDHB,SDHB
1	17054028	17054029	-		1	Nm-seq	SDHB,SDHB
1	19608104	19608105	+		1	Nm-seq	MICOS10,MICOS10,MICOS10,MICOS10,NBL1,MICOS10-NBL1,MICOS10,MICOS10-NBL1,MICOS10,MICOS10,MICOS10,MICOS10,MICOS10-NBL1
1	19626469	19626470	+		1	Nm-seq	NBL1,MICOS10,MICOS10,MICOS10,MICOS10,MICOS10-NBL1,MICOS10,MICOS10-NBL1,MICOS10,MICOS10,MICOS10-NBL1
1	21218897	21218898	-		1	Nm-seq	ECE1,ECE1,ECE1,ECE1
1	23310584	23310585	-		1	Nm-seq	HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR
1	23310588	23310589	-		1	Nm-seq	HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR
1	23310660	23310661	-		1	Nm-seq	HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR
1	23310666	23310667	-		1	Nm-seq	HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR
1	23318500	23318501	-		1	Nm-seq	HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR
1	23337763	23337764	-		1	Nm-seq	HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR,HNRNPR
1	23559481	23559482	-		1	Nm-seq	ID3
1	23854552	23854553	-		1	Nm-seq	FUCA1
1	24842975	24842976	+		1	Nm-seq	CLIC4,CLIC4
1	25360693	25360694	+		1	Nm-seq	TMEM50A,TMEM50A,TMEM50A,TMEM50A
1	25901500	25901501	-		1	Nm-seq	STMN1,STMN1,STMN1,STMN1,STMN1,STMN1,STMN1
1	25901640	25901641	-		1	Nm-seq	STMN1,STMN1,STMN1,STMN1,STMN1,STMN1,STMN1,STMN1
1	25904728	25904729	-		1	Nm-seq	STMN1,STMN1,STMN1,STMN1,STMN1,STMN1,STMN1
1	26475733	26475734	+		1	Nm-seq	HMGN2,HMGN2
1	26945589	26945590	+		1	Nm-seq	NUDC,NUDC
1	26945590	26945591	+		1	Nm-seq	NUDC,NUDC
1	27326194	27326195	+		1	Nm-seq	TMEM222,TMEM222,TMEM222,TMEM222,TMEM222,TMEM222,TMEM222,TMEM222,TMEM222
1	28236360	28236361	+		1	Nm-seq	ATP5IF1,ATP5IF1,ATP5IF1,ATP5IF1
1	28535876	28535877	+		1	Nm-seq	RCC1,RCC1,RCC1,RCC1,RCC1,RCC1,RCC1,RCC1,RCC1,RCC1,RCC1
1	28537837	28537838	+		1	Nm-seq	RCC1,RCC1,RCC1,RCC1,RCC1,RCC1
1	32224470	32224471	+		1	Nm-seq	EIF3I,EIF3I,EIF3I,EIF3I,EIF3I,EIF3I
1	32335023	32335024	-		1	Nm-seq	MARCKSL1
1	32669519	32669520	+		1	Nm-seq	RBBP4,RBBP4,RBBP4,RBBP4,RBBP4,RBBP4,RBBP4,RBBP4,RBBP4
1	32669520	32669521	+		1	Nm-seq	RBBP4,RBBP4,RBBP4,RBBP4,RBBP4,RBBP4,RBBP4,RBBP4,RBBP4
1	32780205	32780206	-		1	Nm-seq	YARS,YARS,YARS,YARS,YARS
1	33013366	33013367	-		1	Nm-seq	AK2,AK2,AK2,AK2,AK2,AK2,AK2
1	33013367	33013368	-		1	Nm-seq	AK2,AK2,AK2,AK2,AK2,AK2,AK2
1	33021374	33021375	-		1	Nm-seq	AK2,AK2,AK2,AK2,AK2,AK2,AK2,AK2,AK2,AK2
1	35188038	35188039	-		1	Nm-seq	SFPQ,SFPQ,SFPQ
1	35190950	35190951	-		1	Nm-seq	SFPQ
1	37574672	37574673	-		1	Nm-seq	GNL2
1	37806857	37806858	-		1	Nm-seq	YRDC
1	39034542	39034543	+		1	Nm-seq	NDUFS5,NDUFS5
1	40301003	40301004	-		1	Nm-seq	COL9A2,COL9A2
1	40861717	40861718	-		1	Nm-seq	CITED4
1	42658905	42658906	+		1	Nm-seq	PPIH,PPIH,PPIH,PPIH
1	43172076	43172077	-		1	Nm-seq	EBNA1BP2,EBNA1BP2,EBNA1BP2,EBNA1BP2,EBNA1BP2,EBNA1BP2
1	43186797	43186798	+		1	Nm-seq	CFAP57,CFAP57,CFAP57,CFAP57
1	43619826	43619827	+		1	Nm-seq	PTPRF,PTPRF,PTPRF,PTPRF,PTPRF,PTPRF,PTPRF,PTPRF
1	43981215	43981216	+		1	Nm-seq	B4GALT2,B4GALT2,B4GALT2,B4GALT2,B4GALT2,B4GALT2,B4GALT2
1	44777634	44777635	+		1	Nm-seq	RPS8,RPS8,RPS8,RPS8,RPS8,RPS8
1	44777685	44777686	+		1	Nm-seq	RPS8,RPS8,RPS8,RPS8,RPS8,RPS8
1	45514550	45514551	-		1	Nm-seq	PRDX1,PRDX1,PRDX1,PRDX1,PRDX1
1	45645862	45645863	-		1	Nm-seq	GPBP1L1,GPBP1L1,GPBP1L1,RPS15AP10
1	46310296	46310297	+		1	Nm-seq	UQCRH,UQCRH,UQCRH,UQCRH
1	52446352	52446353	-		1	Nm-seq	TUT4,TUT4,TUT4,TUT4,TUT4,TUT4,TUT4
1	52446353	52446354	-		1	Nm-seq	TUT4,TUT4,TUT4,TUT4,TUT4,TUT4,TUT4
1	54053070	54053071	-		1	Nm-seq	TMEM59,TMEM59,TMEM59,TMEM59,TMEM59,TMEM59
1	54218270	54218271	+		1	Nm-seq	MRPL37,MRPL37,MRPL37,MRPL37
1	67424227	67424228	-		1	Nm-seq	SERBP1,SERBP1,SERBP1,SERBP1,SERBP1,SERBP1
1	67426247	67426248	-		1	Nm-seq	SERBP1,SERBP1,SERBP1,SERBP1,SERBP1
1	71064698	71064699	-		1	Nm-seq	ZRANB2,ZRANB2,ZRANB2
1	71080944	71080945	-		1	Nm-seq	ZRANB2,ZRANB2,ZRANB2
1	91387267	91387268	-		1	2OMe-seq	HFM1,HFM1,LSU-rRNA_Hsa,HFM1,HFM1,HFM1
1	91387353	91387354	-		1	2OMe-seq	HFM1,HFM1,LSU-rRNA_Hsa,HFM1,HFM1,HFM1
