chr	start	end	strand	label	Loci	Coverage_B	C_count_B	T_count_B	MethyRate_B	C+T/cov_B	Coverage_C	C_count_C	T_count_C	MethyRate_C	C+T/cov_C	Coverage_E	C_count_E	T_count_E	MethyRate_E	C+T/cov_E	Raw_Coverage_B	Raw_C_count_B	Raw_T_count_B	Raw_MethyRate_B	Raw_C+T/cov_B	SignalRatio_B	Raw_Coverage_C	Raw_C_count_C	Raw_T_count_C	Raw_MethyRate_C	Raw_C+T/cov_C	SignalRatio_C	Raw_Coverage_E	Raw_C_count_E	Raw_T_count_E	Raw_MethyRate_E	Raw_C+T/cov_E	SignalRatio_E	Loci.1	GeneSymbol	Transcript ID	Region	TranscriptType
1	1014331	1014332	+		chr1:1014332:C:+	1429	192	1237	0.134359692092372	1.0	1162	189	973	0.162650602409639	1.0	1382	220	1160	0.159420289855072	0.998552821997106	1429	192	1237	0.134359692092372	1.0	1.0	1162	189	973	0.162650602409639	1.0	1.0	1382	220	1160	0.159420289855072	0.998552821997106	1.0	chr1:1014332:C:+	ISG15	ENST00000624697.3	cds	protein_coding
1	10379872	10379873	+		chr1:10379873:C:+	88	22	66	0.25	1.0	90	17	73	0.188888888888889	1.0	54	16	38	0.296296296296296	1.0	88	22	66	0.25	1.0	1.0	90	17	73	0.188888888888889	1.0	1.0	54	16	38	0.296296296296296	1.0	1.0	chr1:10379873:C:+	KIF1B	ENST00000377086.5	3utr	protein_coding
1	109100507	109100508	+		chr1:109100508:C:+	3788	1508	2279	0.398204383416953	0.99973600844773	3955	1524	2430	0.385432473444613	0.999747155499368	3681	1497	2183	0.40679347826087	0.99972833469166	3797	1512	2284	0.398314014752371	0.999736634184883	0.99763	3967	1530	2436	0.385779122541604	0.999747920342828	0.996975	3693	1502	2190	0.4068255687974	0.999729217438397	0.996751	chr1:109100508:C:+	SCARNA2	ENST00000602755.1	ncRNA_exonic	lincRNA
1	111443903	111443904	-		chr1:111443904:C:-	355	56	299	0.157746478873239	1.0	534	70	464	0.131086142322097	1.0	362	61	301	0.168508287292818	1.0	355	56	299	0.157746478873239	1.0	1.0	534	70	464	0.131086142322097	1.0	1.0	362	61	301	0.168508287292818	1.0	1.0	chr1:111443904:C:-	WDR77	ENST00000235090.9	cds	protein_coding
1	116949312	116949313	+		chr1:116949313:C:+	200	23	177	0.115	1.0	199	24	175	0.120603015075377	1.0	187	28	159	0.149732620320856	1.0	200	23	177	0.115	1.0	1.0	199	24	175	0.120603015075377	1.0	1.0	187	28	159	0.149732620320856	1.0	1.0	chr1:116949313:C:+	PTGFRN	ENST00000393203.2	cds	protein_coding
1	1217039	1217040	-		chr1:1217040:C:-	111	65	46	0.585585585585586	1.0	124	73	50	0.59349593495935	0.991935483870968	101	38	63	0.376237623762376	1.0	113	67	46	0.592920353982301	1.0	0.982301	125	74	50	0.596774193548387	0.992	0.992	101	38	63	0.376237623762376	1.0	1.0	chr1:1217040:C:-	SDF4	ENST00000263741.11	3utr	protein_coding
1	1217040	1217041	-		chr1:1217041:C:-	114	68	46	0.596491228070175	1.0	123	72	51	0.585365853658537	1.0	100	40	60	0.4	1.0	117	70	47	0.598290598290598	1.0	0.974359	124	73	51	0.588709677419355	1.0	0.991935	100	40	60	0.4	1.0	1.0	chr1:1217041:C:-	SDF4	ENST00000263741.11	3utr	protein_coding
1	1231568	1231569	-		chr1:1231569:C:-	129	17	112	0.131782945736434	1.0	155	24	131	0.154838709677419	1.0	128	12	116	0.09375	1.0	129	17	112	0.131782945736434	1.0	1.0	155	24	131	0.154838709677419	1.0	1.0	128	12	116	0.09375	1.0	1.0	chr1:1231569:C:-	SDF4	ENST00000263741.11	intronic	protein_coding
1	1314331	1314332	-		chr1:1314332:C:-	520	58	462	0.111538461538462	1.0	525	67	458	0.127619047619048	1.0	454	61	393	0.134361233480176	1.0	520	58	462	0.111538461538462	1.0	1.0	525	67	458	0.127619047619048	1.0	1.0	455	62	393	0.136263736263736	1.0	0.997802	chr1:1314332:C:-	INTS11	ENST00000540437.5	cds	protein_coding
1	1342388	1342389	-		chr1:1342389:C:-	719	148	571	0.205841446453408	1.0	703	122	581	0.173541963015647	1.0	502	102	400	0.203187250996016	1.0	720	149	571	0.206944444444444	1.0	0.998611	703	122	581	0.173541963015647	1.0	1.0	502	102	400	0.203187250996016	1.0	1.0	chr1:1342389:C:-	DVL1	ENST00000378888.9	cds	protein_coding
1	154951914	154951915	-		chr1:154951915:C:-	86	5	81	0.0581395348837209	1.0	92	12	80	0.130434782608696	1.0	107	13	94	0.121495327102804	1.0	86	5	81	0.0581395348837209	1.0	1.0	92	12	80	0.130434782608696	1.0	1.0	107	13	94	0.121495327102804	1.0	1.0	chr1:154951915:C:-	PBXIP1	ENST00000368463.7	cds	protein_coding
1	155057681	155057682	+		chr1:155057682:C:+	1494	706	788	0.472556894243641	1.0	1494	670	823	0.448760884125921	0.999330655957162	1199	535	664	0.446205170975813	1.0	1495	707	788	0.472909698996656	1.0	0.999331	1494	670	823	0.448760884125921	0.999330655957162	1.0	1199	535	664	0.446205170975813	1.0	1.0	chr1:155057682:C:+	ADAM15	ENST00000356955.6	cds	protein_coding
1	155765544	155765545	-		chr1:155765545:C:-	116	18	98	0.155172413793103	1.0	107	7	100	0.0654205607476635	1.0	80	17	63	0.2125	1.0	116	18	98	0.155172413793103	1.0	1.0	107	7	100	0.0654205607476635	1.0	1.0	80	17	63	0.2125	1.0	1.0	chr1:155765545:C:-	GON4L	ENST00000368331.5	cds	protein_coding
1	156743365	156743366	-		chr1:156743366:C:-	2040	1446	594	0.708823529411765	1.0	1901	1309	592	0.688584955286691	1.0	1602	1094	508	0.682896379525593	1.0	2040	1446	594	0.708823529411765	1.0	1.0	1901	1309	592	0.688584955286691	1.0	1.0	1603	1095	508	0.683094198378041	1.0	0.999376	chr1:156743366:C:-	HDGF	ENST00000357325.9	3utr	protein_coding
1	160266992	160266993	-		chr1:160266993:C:-	257	77	180	0.299610894941634	1.0	198	61	137	0.308080808080808	1.0	269	71	198	0.263940520446097	1.0	257	77	180	0.299610894941634	1.0	1.0	198	61	137	0.308080808080808	1.0	1.0	269	71	198	0.263940520446097	1.0	1.0	chr1:160266993:C:-	RP11-574F21.3	ENST00000556710.5	intronic	protein_coding
1	161531158	161531159	+		chr1:161531159:C:+	287	89	198	0.310104529616725	1.0	362	127	235	0.350828729281768	1.0	394	115	279	0.291878172588832	1.0	288	90	198	0.3125	1.0	0.996528	368	133	235	0.361413043478261	1.0	0.983696	398	119	279	0.298994974874372	1.0	0.98995	chr1:161531159:C:+	RP11-25K21.6	ENST00000537821.2	ncRNA_intronic	processed_transcript
1	161531159	161531160	+		chr1:161531160:C:+	288	52	236	0.180555555555556	1.0	365	89	276	0.243835616438356	1.0	395	95	300	0.240506329113924	1.0	289	53	236	0.183391003460208	1.0	0.99654	371	95	276	0.256064690026954	1.0	0.983827	399	99	300	0.24812030075188	1.0	0.989975	chr1:161531160:C:+	RP11-25K21.6	ENST00000537821.2	ncRNA_intronic	processed_transcript
1	161531160	161531161	+		chr1:161531161:C:+	290	17	273	0.0586206896551724	1.0	372	57	315	0.153225806451613	1.0	393	50	343	0.127226463104326	1.0	291	18	273	0.0618556701030928	1.0	0.996564	378	63	315	0.166666666666667	1.0	0.984127	397	54	343	0.136020151133501	1.0	0.989924	chr1:161531161:C:+	RP11-25K21.6	ENST00000537821.2	ncRNA_intronic	processed_transcript
1	161531182	161531183	+		chr1:161531183:C:+	281	27	254	0.096085409252669	1.0	337	47	290	0.13946587537092	1.0	368	36	332	0.0978260869565217	1.0	281	27	254	0.096085409252669	1.0	1.0	339	47	292	0.138643067846608	1.0	0.9941	368	36	332	0.0978260869565217	1.0	1.0	chr1:161531183:C:+	RP11-25K21.6	ENST00000537821.2	ncRNA_intronic	processed_transcript
1	16396654	16396655	+		chr1:16396655:C:+	909	767	141	0.844713656387665	0.998899889988999	320	273	47	0.853125	1.0	337	285	52	0.845697329376855	1.0	913	771	141	0.845394736842105	0.998904709748083	0.995619	320	273	47	0.853125	1.0	1.0	337	285	52	0.845697329376855	1.0	1.0	chr1:16396655:C:+	SZRD1	ENST00000401088.8	3utr	protein_coding
1	16987122	16987123	-		chr1:16987123:C:-	60	9	51	0.15	1.0	43	8	35	0.186046511627907	1.0	41	15	26	0.365853658536585	1.0	60	9	51	0.15	1.0	1.0	43	8	35	0.186046511627907	1.0	1.0	41	15	26	0.365853658536585	1.0	1.0	chr1:16987123:C:-	ATP13A2	ENST00000452699.5	cds	protein_coding
1	16997162	16997163	-		chr1:16997163:C:-	114	13	101	0.114035087719298	1.0	88	9	79	0.102272727272727	1.0	68	6	62	0.0882352941176471	1.0	114	13	101	0.114035087719298	1.0	1.0	88	9	79	0.102272727272727	1.0	1.0	68	6	62	0.0882352941176471	1.0	1.0	chr1:16997163:C:-	ATP13A2	ENST00000452699.5	cds	protein_coding
