,group,group_name,start,end,width,tx_id,exon_id,exon_rank,seq_start,seq_end,seq_name,seq_strand
1,1,NA,-1,-1,1,NA,NA,NA,110347553,110347554,chr1,+
2,2,NA,-1,-1,1,NA,NA,NA,110347674,110347675,chr1,+
3,3,NA,-1,-1,1,NA,NA,NA,12019469,12019470,chr1,+
4,4,NA,-1,-1,1,NA,NA,NA,201829159,201829160,chr1,+
5,5,NA,-1,-1,1,NA,NA,NA,230642480,230642481,chr1,+
6,6,NA,-1,-1,1,NA,NA,NA,244750552,244750553,chr1,+
7,7,NA,-1,-1,1,NA,NA,NA,244750660,244750661,chr1,+
8,8,NA,-1,-1,1,NA,NA,NA,244751492,244751493,chr1,+
9,9,NA,-1,-1,1,NA,NA,NA,244751752,244751753,chr1,+
10,10,NA,-1,-1,1,NA,NA,NA,244751770,244751771,chr1,+
11,11,NA,-1,-1,1,NA,NA,NA,244751780,244751781,chr1,+
12,12,NA,-1,-1,1,NA,NA,NA,3732999,3733000,chr1,+
13,13,NA,-1,-1,1,NA,NA,NA,46286172,46286173,chr1,+
14,14,NA,-1,-1,1,NA,NA,NA,89995109,89995110,chr1,+
15,15,NA,-1,-1,1,NA,NA,NA,85580760,85580761,chr1,+
16,16,NA,-1,-1,1,NA,NA,NA,25398711,25398712,chr1,+
17,17,NA,-1,-1,1,NA,NA,NA,108692309,108692310,chr1,+
18,18,NA,-1,-1,1,NA,NA,NA,171781659,171781660,chr1,+
19,19,NA,-1,-1,1,NA,NA,NA,204073114,204073115,chr1,+
20,20,NA,-1,-1,1,NA,NA,NA,220748322,220748323,chr1,+
21,21,NA,-1,-1,1,NA,NA,NA,42658397,42658398,chr1,+
22,22,NA,-1,-1,1,NA,NA,NA,52404563,52404564,chr1,+
23,23,NA,-1,-1,1,NA,NA,NA,6625185,6625186,chr1,+
24,24,NA,-1,-1,1,NA,NA,NA,48306679,48306680,chr10,+
25,25,NA,-1,-1,1,NA,NA,NA,91923794,91923795,chr10,+
26,26,NA,-1,-1,1,NA,NA,NA,104254860,104254861,chr10,+
27,27,NA,-1,-1,1,NA,NA,NA,104274904,104274905,chr10,+
28,28,NA,-1,-1,1,NA,NA,NA,125823542,125823543,chr10,+
29,29,NA,-1,-1,1,NA,NA,NA,80078670,80078671,chr10,+
30,30,NA,-1,-1,1,NA,NA,NA,92136529,92136530,chr10,+
31,31,NA,-1,-1,1,NA,NA,NA,118531201,118531202,chr11,+
32,32,NA,-1,-1,1,NA,NA,NA,10305072,10305073,chr11,+
33,33,NA,-1,-1,1,NA,NA,NA,83193767,83193768,chr11,+
34,34,NA,-1,-1,1,NA,NA,NA,124673903,124673904,chr11,+
35,35,NA,-1,-1,1,NA,NA,NA,120496077,120496078,chr12,+
