chr	start	end	strand	label	n_supporting	method	gene_name
1	93847629	93847630	+		1	m7G-seq	tRNA-Arg-AGA,AL049796.1,tRNA-Arg-TCT-1-1
1	222465049	222465050	+		1	m7G-seq	tRNA-Thr-TGT-2-1,tRNA-Thr-ACA
10	22229535	22229536	-		2	m7G-seq,na	tRNA-Asn-AAC,tRNA-Asn-GTT-2-3
11	76235556	76235557	+		1	m7G-seq	tRNA-Pro-AGG-2-4,tRNA-Pro-CCY
11	76235851	76235852	-		1	m7G-seq	tRNA-Pro-TGG-2-1,tRNA-Pro-CCA
17	8119199	8119200	+		1	m7G-seq	tRNA-Lys-AAA,tRNA-Lys-TTT-3-5
5	181102279	181102280	-		2	m7G-seq,na	tRNA-Val-CAC-1-3,tRNA-Val-GTG
6	26330327	26330328	-		2	m7G-seq,na	tRNA-Met-i,tRNA-iMet-CAT-1-4
6	26331470	26331471	-		1	m7G-seq	tRNA-Trp-CCA-3-2,tRNA-Trp-TGG
6	26553546	26553547	+		1	m7G-seq	tRNA-Ala-GCG,tRNA-Ala-CGC-1-1
6	26556590	26556591	+		1	m7G-seq	tRNA-Lys-CTT-2-4,tRNA-Lys-AAG
6	26756597	26756598	+		1	m7G-seq	tRNA-Ile-ATT,tRNA-Ile-AAT-6-1
6	27020411	27020412	+		1	m7G-seq	tRNA-Ile-TAT-2-2,tRNA-Ile-ATA,LINC00240,LINC00240
6	27091785	27091786	+		1	m7G-seq	tRNA-Pro-CGG-2-1,tRNA-Pro-CCG
6	27753426	27753427	-		2	m7G-seq,na	tRNA-Val-GTY,tRNA-Val-AAC-1-5
6	28802825	28802826	-		1	m7G-seq	tRNA-Ala-TGC-7-1,tRNA-Ala-GCA
6	28863711	28863712	-		1	m7G-seq	tRNA-Ala-AGC-2-2,LINC01623,tRNA-Ala-GCY_
6	28944619	28944620	+		1	m7G-seq	tRNA-Met-CAT-3-1,tRNA-Met_
6	28981698	28981699	-		2	m7G-seq,na	tRNA-Phe-TTY,tRNA-Phe-GAA-1-2
8	66114048	66114049	+		1	m7G-seq	AC084082.1,AC084082.1,tRNA-Tyr-GTA-5-2,tRNA-Tyr-TAC
X	18674935	18674936	-		1	m7G-seq	tRNA-Val-GTA,tRNA-Val-TAC-1-2
