chr	start	end	strand	label	Gene ID	Gene Symbol	Gene Type	m5C	C	m5C Level	m5C.1	C.1	m5C Level.1	Status_rep1	Status_rep2	Final Level	m5C.2	C.2	m5C Level.2	m5C.3	C.3	m5C Level.3	Status_rep1.1	Status_rep2.1	Final Level.1
1	17919	17920	-	1	ENSG00000227232	WASH7P	pseudogene	8	40	0.166667	2	25	0.0740741	1	/	/	0	43	0.0	4	42	0.0869565	/	/	/
1	631079	631080	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	50	302	0.142045	18	200	0.0825688	1	/	/	33	188	0.149321	21	175	0.107143	1	1	0.129496
1	631082	631083	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	49	302	0.139601	18	200	0.0825688	1	/	/	36	185	0.162896	20	176	0.102041	1	1	0.134293
1	631089	631090	-	0	ENSG00000230021	RP5-857K21.4	lincRNA	31	320	0.0883191	11	207	0.0504587	/	/	/	25	196	0.113122	14	182	0.0714286	1	/	/
1	631139	631140	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	53	281	0.158683	17	198	0.0790698	1	/	/	29	182	0.137441	29	155	0.157609	1	1	0.146835
1	631140	631141	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	56	277	0.168168	15	199	0.0700935	1	/	/	30	181	0.14218	31	153	0.168478	1	1	0.15443
1	631142	631143	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	60	267	0.183486	22	191	0.103286	1	1	0.151852	36	167	0.17734	33	145	0.185393	1	1	0.181102
1	631146	631147	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	59	262	0.183801	24	185	0.114833	1	1	0.156604	38	161	0.190955	39	139	0.219101	1	1	0.204244
1	631148	631149	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	55	261	0.174051	26	184	0.12381	1	1	0.153992	42	156	0.212121	34	141	0.194286	1	1	0.203753
1	631151	631152	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	67	239	0.218954	26	171	0.13198	1	1	0.184891	50	139	0.26455	35	134	0.207101	1	1	0.23743
1	631152	631153	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	55	240	0.186441	28	165	0.145078	1	1	0.170082	35	148	0.191257	33	134	0.197605	1	1	0.194286
1	631154	631155	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	55	216	0.202952	21	164	0.113514	1	1	0.166667	29	138	0.173653	28	131	0.176101	1	1	0.174847
1	631160	631161	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	31	210	0.128631	14	148	0.0864198	1	/	/	18	126	0.125	12	116	0.09375	1	/	/
1	631161	631162	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	27	213	0.1125	12	150	0.0740741	1	/	/	20	124	0.138889	8	120	0.0625	1	/	/
1	631185	631186	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	9	61	0.128571	5	66	0.0704225	1	/	/	7	47	0.12963	3	47	0.06	1	/	/
1	631187	631188	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	12	58	0.171429	5	67	0.0694444	1	/	/	11	43	0.203704	4	45	0.0816327	1	/	/
1	631190	631191	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	10	40	0.2	9	36	0.2	1	1	0.2	9	25	0.264706	5	28	0.151515	1	1	0.208955
1	631280	631281	-	0	ENSG00000230021	RP5-857K21.4	lincRNA	1	25	0.0384615	6	37	0.139535	/	1	/	2	27	0.0689655	2	40	0.047619	/	/	/
1	631334	631335	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	23	189	0.108491	14	205	0.0639269	1	/	/	20	193	0.0938967	21	220	0.0871369	/	/	/
1	631335	631336	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	24	188	0.113208	19	200	0.086758	1	/	/	19	195	0.088785	23	218	0.0954357	/	/	/
1	631337	631338	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	29	184	0.13615	18	201	0.0821918	1	/	/	35	179	0.163551	28	213	0.116183	1	1	0.138462
1	631408	631409	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	58	68	0.460317	33	110	0.230769	1	1	0.33829	62	134	0.316327	36	140	0.204545	1	1	0.263441
